Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,Male,0,No,No,5,Yes,Month-to-month,Yes,Electronic check,69.7,316.9
0,Female,0,No,No,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3
1,Male,0,No,No,34,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25
1,Female,0,No,No,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4
0,Male,0,Yes,Yes,10,Yes,One year,No,Mailed check,49.55,475.7
0,Female,0,Yes,Yes,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35
0,Female,0,Yes,Yes,17,Yes,One year,No,Mailed check,20.75,418.25
0,Female,0,No,No,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45
0,Female,0,Yes,No,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45
0,Female,0,No,No,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7
0,Male,0,No,No,2,Yes,Month-to-month,No,Mailed check,49.25,97
1,Female,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15
0,Male,0,No,No,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8
0,Female,0,Yes,Yes,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1
0,Female,1,No,No,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75
1,Female,0,No,No,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4
0,Female,1,Yes,No,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65
1,Female,1,Yes,No,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3
0,Female,1,Yes,Yes,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35
1,Male,1,No,No,18,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55
0,Female,0,Yes,Yes,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2
0,Male,1,Yes,Yes,66,Yes,One year,Yes,Electronic check,108.45,7076.35
0,Female,0,Yes,Yes,34,Yes,Two year,No,Credit card (automatic),24.95,894.3
0,Female,0,No,No,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7
0,Female,0,Yes,No,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1
0,Male,0,No,No,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7
0,Male,0,Yes,No,72,No,Two year,No,Bank transfer (automatic),42.1,2962
0,Female,0,Yes,Yes,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1
1,Female,0,No,No,9,Yes,Month-to-month,No,Electronic check,94.4,857.25
0,Female,0,No,No,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1
0,Male,0,Yes,No,47,Yes,One year,Yes,Electronic check,78.9,3650.35
0,Female,0,No,No,31,Yes,Two year,No,Mailed check,79.2,2497.2
0,Female,0,Yes,Yes,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9
0,Male,0,No,No,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,49.05,49.05
0,Female,0,Yes,Yes,52,Yes,One year,Yes,Electronic check,20.4,1090.65
0,Male,1,Yes,Yes,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099
0,Male,0,Yes,Yes,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6
0,Female,0,No,Yes,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4
0,Female,1,No,No,56,Yes,One year,No,Electronic check,110.5,6139.5
0,Female,0,No,No,46,Yes,One year,No,Credit card (automatic),55.65,2688.85
0,Female,0,Yes,Yes,8,Yes,Month-to-month,No,Mailed check,54.65,482.25
0,Male,1,No,No,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3
0,Female,0,Yes,Yes,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6
1,Female,0,No,Yes,1,Yes,Month-to-month,Yes,Electronic check,79.35,79.35
0,Female,0,Yes,Yes,11,No,Month-to-month,No,Electronic check,50.55,565.35
1,Female,0,Yes,No,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9
0,Female,0,No,No,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5
0,Female,0,Yes,No,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35
0,Male,0,No,No,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75
0,Female,0,Yes,No,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45
0,Female,0,Yes,Yes,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057
0,Female,0,Yes,Yes,46,Yes,Two year,Yes,Mailed check,19.95,927.1
0,Male,0,Yes,No,29,No,Month-to-month,No,Mailed check,33.75,1009.25
0,Male,0,Yes,Yes,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2
0,Male,1,No,No,1,Yes,Month-to-month,No,Electronic check,74.7,74.7
0,Male,0,Yes,Yes,66,Yes,Two year,Yes,Mailed check,84,5714.25
0,Female,0,No,No,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107
0,Male,0,No,No,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05
1,Female,0,No,No,12,Yes,Month-to-month,Yes,Electronic check,78.95,927.35
0,Male,0,Yes,Yes,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7
1,Male,0,No,No,5,Yes,Month-to-month,No,Mailed check,21.05,113.85
0,Male,0,No,No,52,Yes,Two year,No,Bank transfer (automatic),21,1107.2
1,Female,1,Yes,No,25,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,20.2,20.2
0,Female,0,Yes,Yes,1,Yes,Month-to-month,No,Electronic check,19.45,19.45
0,Male,0,No,No,38,Yes,One year,No,Bank transfer (automatic),95,3605.6
0,Female,1,Yes,No,66,No,One year,No,Bank transfer (automatic),45.55,3027.25
1,Male,0,Yes,No,68,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85
0,Male,0,No,No,5,No,Month-to-month,No,Mailed check,24.3,100.2
0,Female,0,Yes,Yes,72,Yes,One year,Yes,Electronic check,104.15,7303.05
0,Female,0,No,No,32,No,One year,No,Mailed check,30.15,927.65
0,Male,0,No,No,43,Yes,One year,No,Mailed check,94.35,3921.3
0,Male,0,Yes,Yes,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25
1,Male,0,Yes,No,55,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9
0,Female,0,No,No,52,Yes,One year,No,Credit card (automatic),57.95,3042.25
0,Female,0,No,No,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1
1,Female,1,Yes,No,37,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15
0,Female,0,Yes,Yes,64,No,Two year,Yes,Electronic check,54.6,3423.5
0,Male,0,Yes,Yes,3,Yes,Month-to-month,No,Electronic check,89.85,248.4
0,Female,0,No,No,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35
1,Female,0,Yes,Yes,10,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65
0,Female,0,No,No,41,Yes,Two year,No,Mailed check,20.65,835.15
0,Male,0,Yes,Yes,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6
0,Female,0,Yes,Yes,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45
0,Female,0,No,No,6,Yes,Month-to-month,No,Mailed check,20.7,112.75
1,Male,0,No,No,3,Yes,Month-to-month,Yes,Electronic check,74.4,229.55
0,Female,0,Yes,Yes,7,Yes,Month-to-month,No,Mailed check,50.7,350.35
0,Female,0,Yes,Yes,4,Yes,Month-to-month,No,Mailed check,20.85,62.9
0,Male,0,No,No,33,Yes,Two year,Yes,Electronic check,88.95,3027.65
1,Female,1,No,No,27,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5
0,Male,0,Yes,No,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,19.75,19.75
0,Male,1,No,No,71,No,One year,Yes,Electronic check,56.45,3985.35
0,Female,0,No,No,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65
1,Female,0,Yes,Yes,25,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65
0,Male,0,No,No,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1
1,Male,0,No,No,1,No,Month-to-month,Yes,Electronic check,35.45,35.45
1,Male,0,No,No,2,Yes,Month-to-month,No,Electronic check,44.35,81.25
0,Female,0,No,No,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2
0,Female,0,No,No,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75,1778.5
0,Female,0,Yes,Yes,64,Yes,Two year,No,Mailed check,20.2,1277.75
0,Male,0,No,Yes,57,Yes,Two year,Yes,Mailed check,19.6,1170.55
1,Female,1,Yes,No,1,Yes,Month-to-month,Yes,Mailed check,70.45,70.45
0,Female,1,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65
1,Female,0,No,No,8,Yes,Month-to-month,No,Electronic check,71.15,563.65
0,Female,0,Yes,No,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25
0,Male,0,No,No,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05
0,Male,1,Yes,No,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2
0,Female,0,Yes,Yes,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7
0,Male,0,No,No,3,Yes,One year,No,Mailed check,19.6,61.35
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,45.65,45.65
0,Male,0,No,Yes,30,Yes,One year,No,Credit card (automatic),64.5,1929.95
0,Male,0,Yes,Yes,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4
0,Female,0,Yes,Yes,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35
1,Male,0,No,No,7,Yes,Month-to-month,No,Mailed check,95,655.5
0,Female,0,Yes,Yes,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55
0,Male,0,Yes,Yes,62,Yes,Two year,No,Electronic check,86.1,5215.25
0,Female,0,Yes,Yes,6,Yes,Month-to-month,No,Mailed check,19.7,113.5
0,Female,0,Yes,Yes,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8
0,Female,0,No,No,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95
0,Male,0,Yes,Yes,22,Yes,One year,No,Mailed check,20.15,419.9
0,Male,0,Yes,Yes,16,Yes,Two year,No,Mailed check,64.25,1024
0,Male,0,No,No,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6
0,Female,0,No,Yes,13,Yes,Month-to-month,Yes,Electronic check,56,764.55
1,Female,0,Yes,No,20,Yes,Month-to-month,No,Electronic check,82.4,1592.35
0,Female,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2
0,Male,0,No,No,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25
0,Female,0,Yes,Yes,11,Yes,One year,No,Mailed check,20.6,233.9
0,Male,0,Yes,No,69,Yes,Two year,No,Mailed check,19.9,1363.45
1,Female,0,No,No,4,Yes,Month-to-month,Yes,Bank transfer (automatic),70.9,273
0,Male,0,Yes,No,72,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45
1,Male,1,Yes,No,58,No,Month-to-month,Yes,Electronic check,45.3,2651.2
0,Female,0,Yes,Yes,16,Yes,Month-to-month,No,Electronic check,20.4,321.4
0,Male,0,Yes,No,43,Yes,One year,Yes,Bank transfer (automatic),84.25,3539.25
1,Female,0,Yes,No,2,Yes,Month-to-month,Yes,Electronic check,104.4,242.8
0,Male,0,Yes,No,14,Yes,Two year,No,Mailed check,81.95,1181.75
1,Female,0,Yes,No,53,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2
0,Female,0,No,No,32,Yes,One year,No,Bank transfer (automatic),20.55,654.55
0,Female,0,Yes,No,34,Yes,Month-to-month,No,Electronic check,24.7,780.2
1,Female,1,No,No,15,Yes,Month-to-month,Yes,Mailed check,74.45,1145.7
1,Female,1,No,No,7,Yes,Month-to-month,No,Bank transfer (automatic),76.45,503.6
0,Female,0,Yes,Yes,15,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25
0,Male,0,Yes,No,61,Yes,One year,Yes,Credit card (automatic),20.55,1252
1,Female,0,No,No,1,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95
0,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,45.3,45.3
1,Male,0,No,No,8,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65
0,Male,0,Yes,Yes,33,Yes,One year,No,Credit card (automatic),74.75,2453.3
1,Female,0,No,No,13,Yes,Month-to-month,Yes,Electronic check,79.25,1111.65
1,Female,0,Yes,No,1,No,Month-to-month,Yes,Electronic check,24.8,24.8
0,Male,0,No,No,20,Yes,Month-to-month,Yes,Mailed check,51.8,1023.85
0,Male,0,No,No,3,No,Month-to-month,No,Electronic check,30.4,82.15
0,Female,0,No,No,13,Yes,One year,No,Electronic check,19.65,244.8
0,Female,0,Yes,No,40,Yes,Month-to-month,No,Credit card (automatic),56.6,2379.1
0,Male,0,Yes,Yes,43,Yes,One year,Yes,Credit card (automatic),71.9,3173.35
1,Male,0,Yes,No,6,Yes,Month-to-month,Yes,Electronic check,91,531
0,Female,0,Yes,Yes,69,Yes,Two year,No,Bank transfer (automatic),19.75,1375.4
0,Female,0,Yes,Yes,72,Yes,Two year,No,Credit card (automatic),109.7,8129.3
0,Male,0,Yes,Yes,59,Yes,Two year,No,Credit card (automatic),19.3,1192.7
0,Female,0,Yes,No,20,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65
0,Male,0,Yes,Yes,24,Yes,Two year,Yes,Bank transfer (automatic),24.1,587.4
0,Male,0,No,No,59,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75
0,Male,0,Yes,Yes,72,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65
0,Male,0,No,Yes,1,Yes,Month-to-month,No,Mailed check,20.75,20.75
0,Female,0,Yes,No,27,Yes,One year,Yes,Credit card (automatic),101.9,2681.15
0,Female,0,No,No,14,Yes,Month-to-month,Yes,Credit card (automatic),80.05,1112.3
0,Male,0,Yes,Yes,71,Yes,Two year,No,Electronic check,105.55,7405.5
0,Male,0,No,Yes,13,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95
0,Male,0,No,No,44,Yes,Month-to-month,No,Credit card (automatic),68.85,2958.95
0,Female,0,No,No,33,Yes,One year,Yes,Bank transfer (automatic),79.95,2684.85
0,Male,0,Yes,Yes,72,No,Two year,Yes,Credit card (automatic),55.45,4179.2
1,Male,0,No,No,1,Yes,Month-to-month,No,Electronic check,79.9,79.9
1,Female,0,No,No,19,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45
0,Male,0,Yes,No,64,Yes,One year,Yes,Credit card (automatic),102.45,6654.1
1,Male,0,No,No,2,Yes,Month-to-month,Yes,Credit card (automatic),46,84.5
0,Female,0,No,No,1,No,Month-to-month,No,Electronic check,25.25,25.25
0,Male,0,No,Yes,61,Yes,Two year,No,Mailed check,19.75,1124.2
0,Female,0,Yes,Yes,29,Yes,One year,No,Electronic check,20,540.05
0,Male,1,Yes,No,23,Yes,Month-to-month,No,Electronic check,86.8,1975.85
0,Female,0,Yes,No,57,No,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45
0,Male,0,Yes,Yes,72,No,Two year,No,Credit card (automatic),45.25,3139.8
0,Male,0,Yes,No,66,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2
0,Male,0,Yes,Yes,65,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5
0,Female,0,No,No,8,Yes,Month-to-month,Yes,Bank transfer (automatic),80,624.6
1,Female,0,No,No,4,Yes,Month-to-month,Yes,Electronic check,70.15,268.35
0,Female,0,Yes,No,71,Yes,Two year,No,Bank transfer (automatic),24.75,1836.9
0,Male,0,Yes,Yes,1,Yes,One year,Yes,Electronic check,20.2,20.2
1,Male,0,Yes,No,4,Yes,Month-to-month,No,Mailed check,50.05,179.35
0,Female,0,No,No,12,Yes,One year,Yes,Bank transfer (automatic),19.35,219.35
0,Male,0,No,No,24,No,One year,Yes,Mailed check,50.6,1288.75
0,Female,0,Yes,Yes,31,Yes,One year,Yes,Mailed check,81.15,2545.75
1,Female,0,Yes,No,1,Yes,Month-to-month,No,Mailed check,55.2,55.2
0,Male,0,No,No,30,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15
0,Female,0,Yes,Yes,47,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25
0,Male,0,No,No,54,Yes,Two year,Yes,Credit card (automatic),108,5760.65
0,Male,0,No,No,50,Yes,Month-to-month,Yes,Credit card (automatic),93.5,4747.5
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Mailed check,84.6,84.6
0,Female,0,No,No,72,Yes,Two year,No,Credit card (automatic),20.25,1566.9
0,Female,0,No,No,29,Yes,Month-to-month,No,Electronic check,25.15,702
1,Male,0,No,No,2,Yes,Month-to-month,Yes,Mailed check,54.4,114.1
0,Female,0,No,No,10,No,Two year,Yes,Mailed check,29.6,299.05
0,Male,0,Yes,No,18,Yes,Month-to-month,Yes,Electronic check,73.15,1305.95
1,Female,1,No,No,11,Yes,Month-to-month,Yes,Electronic check,95,1120.3
0,Male,0,No,No,16,Yes,Two year,No,Mailed check,19.75,284.35
0,Female,0,No,No,72,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5
0,Male,0,No,No,72,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3
0,Female,0,Yes,Yes,41,Yes,One year,Yes,Credit card (automatic),74.7,3187.65
0,Female,1,Yes,No,65,Yes,Month-to-month,No,Electronic check,94.4,6126.15
0,Female,1,No,No,13,Yes,Month-to-month,Yes,Electronic check,54.8,731.3
0,Male,1,No,No,4,Yes,Month-to-month,No,Electronic check,75.35,273.4
0,Male,0,No,No,41,Yes,One year,No,Mailed check,65,2531.8
1,Male,1,No,No,15,Yes,Month-to-month,Yes,Electronic check,74.4,1074.3
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Mailed check,48.55,48.55
0,Male,0,No,No,42,Yes,One year,Yes,Electronic check,99,4298.45
0,Female,0,Yes,No,51,Yes,One year,Yes,Electronic check,93.5,4619.55
1,Female,0,Yes,Yes,2,Yes,Month-to-month,No,Electronic check,70.4,147.15
1,Male,1,Yes,No,1,No,Month-to-month,No,Electronic check,40.2,40.2
0,Male,0,No,Yes,32,Yes,One year,No,Credit card (automatic),83.7,2633.3
0,Male,0,No,No,10,Yes,Month-to-month,Yes,Mailed check,19.85,193.05
0,Female,0,Yes,Yes,67,No,Two year,Yes,Electronic check,59.55,4103.9
0,Female,0,Yes,Yes,61,Yes,Two year,No,Credit card (automatic),115.1,7008.15
0,Male,0,No,No,50,Yes,One year,No,Credit card (automatic),114.35,5791.1
1,Female,0,Yes,No,2,Yes,Month-to-month,Yes,Credit card (automatic),44.6,80.55
0,Female,1,Yes,No,29,No,Month-to-month,Yes,Electronic check,45,1228.65
1,Male,1,No,No,3,No,Month-to-month,Yes,Electronic check,41.15,132.2
1,Male,1,No,No,13,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3
0,Male,1,Yes,No,57,Yes,Month-to-month,Yes,Electronic check,89.85,4925.35
0,Female,0,No,No,31,No,Two year,Yes,Bank transfer (automatic),49.85,1520.1
0,Female,0,Yes,No,45,Yes,One year,No,Mailed check,113.3,5032.25
0,Female,0,Yes,Yes,61,Yes,Two year,No,Mailed check,88.1,5526.75
0,Male,0,No,No,50,Yes,Two year,No,Bank transfer (automatic),24.9,1195.25
0,Female,1,No,No,19,Yes,Month-to-month,Yes,Mailed check,105,2007.25
1,Male,0,No,No,59,Yes,Two year,No,Mailed check,19.35,1099.6
0,Female,0,Yes,No,71,Yes,Two year,Yes,Credit card (automatic),24.25,1732.95
1,Female,1,No,No,16,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2
0,Male,0,Yes,No,57,Yes,Two year,Yes,Electronic check,59.75,3450.15
1,Male,0,No,No,1,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8
0,Male,1,Yes,No,20,Yes,Month-to-month,No,Electronic check,107.05,2172.05
1,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,70.6,70.6
1,Male,0,Yes,No,5,Yes,Month-to-month,Yes,Electronic check,85.4,401.1
1,Female,0,Yes,No,52,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85
0,Male,1,Yes,No,21,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8
0,Male,0,No,No,14,No,Month-to-month,Yes,Electronic check,55,771.95
0,Female,0,No,No,5,Yes,Month-to-month,No,Bank transfer (automatic),50.55,244.75
0,Female,0,No,No,6,Yes,Month-to-month,No,Mailed check,55.15,322.9
0,Female,0,No,No,10,Yes,Month-to-month,No,Electronic check,51.2,498.25
0,Female,0,No,Yes,1,Yes,Month-to-month,No,Mailed check,25.4,25.4
0,Female,0,No,No,68,Yes,Month-to-month,No,Mailed check,54.45,3687.75
1,Male,0,Yes,Yes,18,Yes,Month-to-month,No,Mailed check,95.15,1779.95
0,Female,0,No,No,22,Yes,One year,Yes,Credit card (automatic),76,1783.6
0,Female,0,No,No,20,Yes,Month-to-month,Yes,Electronic check,44.35,927.15
1,Male,0,Yes,No,1,Yes,Month-to-month,No,Electronic check,70,70
1,Male,1,No,No,8,Yes,Month-to-month,Yes,Electronic check,74.5,606.55
1,Male,0,No,No,10,Yes,Month-to-month,Yes,Credit card (automatic),44.85,435.4
1,Male,1,No,No,24,Yes,Month-to-month,Yes,Electronic check,76.1,1712.7
0,Male,0,No,No,35,Yes,One year,No,Mailed check,61.2,2021.2
0,Male,0,Yes,Yes,23,Yes,One year,No,Mailed check,86.8,1940.8
0,Female,1,No,No,6,Yes,Month-to-month,Yes,Electronic check,89.35,567.8
0,Female,0,No,No,12,Yes,Month-to-month,No,Mailed check,19.7,220.35
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,20.25,20.25
0,Female,0,Yes,Yes,71,Yes,Two year,No,Electronic check,76.05,5436.45
0,Male,1,Yes,No,35,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5
0,Male,0,Yes,Yes,40,Yes,Month-to-month,Yes,Electronic check,74.55,3015.75
1,Female,0,No,Yes,1,Yes,Month-to-month,Yes,Mailed check,73.6,73.6
0,Male,0,No,No,23,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8
1,Female,1,No,No,4,Yes,Month-to-month,Yes,Electronic check,95.45,396.1
0,Male,0,No,No,4,Yes,Month-to-month,Yes,Electronic check,90.4,356.65
0,Female,0,Yes,Yes,68,No,Two year,No,Credit card (automatic),60.3,4109
0,Male,0,No,Yes,38,Yes,Month-to-month,Yes,Mailed check,81.85,3141.7
0,Male,0,Yes,Yes,52,Yes,Two year,No,Mailed check,24.8,1229.1
1,Male,1,Yes,No,32,Yes,Month-to-month,Yes,Electronic check,74.9,2303.35
0,Male,0,Yes,Yes,29,Yes,Two year,No,Mailed check,75.55,2054.4
0,Male,1,Yes,Yes,38,Yes,Month-to-month,No,Electronic check,101.15,3741.85
0,Male,0,No,Yes,48,Yes,One year,Yes,Credit card (automatic),78.75,3682.45
0,Female,0,No,No,1,Yes,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25
0,Female,0,No,No,22,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25
0,Female,0,No,No,43,Yes,Two year,No,Credit card (automatic),115.05,4895.1
0,Female,1,Yes,No,5,Yes,Month-to-month,Yes,Electronic check,69.35,341.6
1,Male,0,No,No,5,Yes,Month-to-month,Yes,Electronic check,80.6,415.55
0,Male,0,Yes,Yes,51,Yes,One year,No,Credit card (automatic),110.05,5686.4
0,Male,0,No,No,71,Yes,Two year,Yes,Credit card (automatic),19.9,1355.1
1,Female,0,Yes,Yes,38,Yes,One year,No,Credit card (automatic),80.3,3058.65
1,Male,1,Yes,No,24,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05
0,Male,0,Yes,No,35,Yes,Month-to-month,Yes,Credit card (automatic),91.5,3236.35
1,Female,1,No,No,54,Yes,One year,No,Bank transfer (automatic),82.45,4350.1
