"","Comfort","Environment","Work","Future","Benefit","science","optimist","Technology","Industry","tech","sciRank","techRank"
"182","strongly agree","agree","agree","agree","agree",16,TRUE,"strongly disagree","agree",4,136,18
"263","strongly agree","strongly agree","strongly agree","strongly agree","disagree",18,TRUE,"strongly agree","strongly agree",8,165,146
"294","agree","strongly agree","agree","agree","disagree",15,TRUE,"agree","strongly agree",7,106,118
"141","strongly agree","agree","disagree","agree","agree",15,TRUE,"agree","agree",6,120,89
"11","agree","agree","agree","strongly agree","agree",16,TRUE,"disagree","agree",5,135,31
"299","agree","disagree","agree","agree","disagree",13,TRUE,"disagree","disagree",4,32,7
"300","strongly agree","strongly agree","strongly agree","strongly agree","disagree",18,TRUE,"strongly agree","strongly agree",8,170,147
"9","agree","agree","agree","strongly agree","disagree",15,TRUE,"strongly agree","strongly agree",8,102,158
"371","agree","strongly agree","agree","agree","agree",16,TRUE,"disagree","agree",5,134,26
"35","agree","strongly agree","disagree","agree","strongly agree",16,TRUE,"strongly agree","strongly agree",8,128,157
"22","agree","agree","strongly disagree","agree","agree",13,TRUE,"agree","strongly agree",7,44,137
"222","strongly agree","agree","strongly agree","agree","strongly agree",18,TRUE,"disagree","agree",5,167,48
"185","agree","agree","agree","disagree","disagree",13,TRUE,"agree","agree",6,46,72
"126","disagree","strongly agree","strongly disagree","disagree","strongly agree",13,FALSE,"agree","strongly agree",7,43,135
"363","strongly agree","agree","agree","strongly agree","agree",17,TRUE,"disagree","strongly agree",6,157,70
"171","agree","strongly disagree","agree","strongly disagree","agree",11,TRUE,"strongly agree","strongly agree",8,8,175
"10","strongly agree","agree","agree","agree","agree",16,TRUE,"agree","agree",6,138,99
"201","strongly agree","strongly disagree","strongly agree","strongly agree","strongly agree",17,TRUE,"strongly disagree","strongly agree",5,146,46
"391","agree","disagree","agree","disagree","strongly agree",14,TRUE,"agree","strongly disagree",4,83,20
"212","strongly agree","strongly agree","agree","agree","agree",17,TRUE,"strongly agree","disagree",6,162,97
"191","disagree","strongly disagree","agree","agree","agree",12,FALSE,"disagree","strongly agree",6,13,102
"343","agree","strongly disagree","disagree","agree","disagree",11,TRUE,"agree","disagree",5,9,24
"197","disagree","agree","disagree","disagree","disagree",11,FALSE,"agree","disagree",5,5,35
"199","agree","agree","agree","strongly agree","agree",16,TRUE,"strongly agree","strongly agree",8,130,159
"198","disagree","agree","disagree","agree","agree",13,FALSE,"disagree","agree",5,62,54
"357","strongly disagree","agree","strongly agree","agree","strongly disagree",12,FALSE,"strongly agree","strongly agree",8,21,164
"306","agree","agree","agree","agree","agree",15,TRUE,"disagree","disagree",4,115,8
"382","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree",20,TRUE,"strongly agree","strongly agree",8,175,145
"258","agree","agree","disagree","agree","disagree",13,TRUE,"agree","agree",6,61,105
"107","disagree","strongly agree","disagree","disagree","agree",13,FALSE,"strongly agree","agree",7,54,132
"36","strongly agree","strongly disagree","disagree","agree","agree",13,TRUE,"agree","agree",6,60,92
"317","agree","agree","agree","strongly agree","agree",16,TRUE,"disagree","agree",5,140,55
"26","agree","agree","disagree","agree","disagree",13,TRUE,"agree","agree",6,59,81
"227","agree","disagree","disagree","agree","disagree",12,TRUE,"strongly disagree","agree",4,12,6
"277","agree","strongly agree","strongly disagree","agree","disagree",13,TRUE,"agree","agree",6,63,76
"311","agree","strongly agree","agree","disagree","disagree",14,TRUE,"strongly agree","agree",7,80,127
"25","agree","strongly disagree","agree","agree","disagree",12,TRUE,"agree","agree",6,17,107
"334","agree","strongly agree","agree","strongly agree","strongly agree",18,TRUE,"strongly agree","strongly agree",8,166,153
"89","agree","disagree","agree","strongly agree","disagree",14,TRUE,"agree","agree",6,97,71
"174","strongly agree","strongly agree","agree","strongly agree","strongly agree",19,TRUE,"agree","strongly agree",7,173,134
"76","strongly agree","agree","strongly disagree","disagree","strongly agree",14,TRUE,"agree","strongly agree",7,91,114
"207","agree","strongly agree","strongly agree","agree","disagree",16,TRUE,"disagree","strongly agree",6,142,80
"21","disagree","agree","agree","strongly disagree","agree",12,FALSE,"disagree","agree",5,15,61
"275","strongly agree","strongly disagree","strongly agree","strongly agree","strongly agree",17,TRUE,"disagree","agree",5,150,29
"82","agree","strongly disagree","agree","strongly agree","agree",14,TRUE,"disagree","agree",5,92,42
"240","agree","disagree","agree","agree","agree",14,TRUE,"disagree","agree",5,65,38
"165","agree","disagree","disagree","strongly disagree","strongly agree",12,TRUE,"agree","strongly agree",7,25,116
"225","agree","agree","agree","disagree","agree",14,TRUE,"agree","disagree",5,81,56
"88","strongly agree","disagree","strongly disagree","strongly disagree","strongly agree",12,TRUE,"strongly disagree","agree",4,20,4
"200","agree","agree","agree","disagree","disagree",13,TRUE,"strongly agree","disagree",6,48,83
"66","agree","disagree","disagree","strongly disagree","disagree",10,TRUE,"disagree","agree",5,3,32
"37","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,126,103
"354","agree","agree","strongly disagree","agree","agree",13,TRUE,"strongly agree","strongly agree",8,52,166
"24","strongly disagree","disagree","strongly agree","disagree","agree",12,FALSE,"disagree","agree",5,28,49
"43","strongly agree","strongly agree","disagree","disagree","strongly disagree",13,TRUE,"disagree","agree",5,33,39
"285","agree","strongly disagree","strongly agree","strongly agree","strongly agree",16,TRUE,"strongly disagree","strongly agree",5,141,51
"324","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,107,65
"288","disagree","disagree","disagree","disagree","disagree",10,FALSE,"agree","agree",6,2,98
"365","strongly agree","strongly agree","agree","agree","agree",17,TRUE,"agree","strongly agree",7,156,125
"77","agree","agree","agree","agree","disagree",14,TRUE,"disagree","agree",5,94,41
"50","agree","disagree","agree","agree","agree",14,TRUE,"disagree","disagree",4,78,23
"231","agree","disagree","agree","agree","strongly agree",15,TRUE,"agree","agree",6,118,77
"204","agree","disagree","agree","agree","agree",14,TRUE,"agree","strongly agree",7,90,138
"154","agree","disagree","agree","agree","agree",14,TRUE,"agree","agree",6,64,66
"146","agree","strongly agree","strongly disagree","disagree","agree",13,TRUE,"strongly agree","strongly agree",8,41,162
"33","strongly agree","strongly disagree","disagree","agree","strongly agree",14,TRUE,"strongly agree","strongly agree",8,70,174
"389","agree","agree","disagree","agree","disagree",13,TRUE,"agree","strongly disagree",4,36,19
"71","agree","disagree","disagree","agree","strongly disagree",11,TRUE,"agree","agree",6,6,85
"124","agree","disagree","agree","agree","disagree",13,TRUE,"disagree","agree",5,49,30
"64","agree","strongly agree","strongly disagree","strongly disagree","agree",12,TRUE,"strongly agree","strongly agree",8,27,161
"128","agree","strongly agree","agree","disagree","disagree",14,TRUE,"strongly agree","strongly agree",8,75,171
"139","agree","strongly agree","agree","strongly agree","strongly agree",18,TRUE,"strongly agree","strongly agree",8,164,167
"249","disagree","agree","agree","agree","strongly agree",15,FALSE,"agree","agree",6,122,86
"74","agree","disagree","strongly disagree","strongly agree","strongly agree",14,TRUE,"agree","strongly agree",7,77,121
"108","strongly agree","strongly agree","strongly agree","strongly agree","agree",19,TRUE,"agree","strongly agree",7,171,139
"101","agree","strongly agree","disagree","strongly agree","disagree",15,TRUE,"strongly agree","strongly agree",8,103,163
"327","agree","strongly disagree","disagree","agree","disagree",11,TRUE,"agree","strongly disagree",4,11,17
"335","agree","agree","strongly agree","strongly agree","agree",17,TRUE,"agree","disagree",5,154,40
"216","agree","agree","disagree","agree","agree",14,TRUE,"strongly disagree","agree",4,96,13
"307","agree","agree","disagree","strongly agree","agree",15,TRUE,"disagree","disagree",4,123,22
"137","strongly agree","strongly agree","strongly disagree","agree","strongly agree",16,TRUE,"agree","strongly agree",7,127,130
"17","agree","agree","strongly disagree","disagree","disagree",11,TRUE,"agree","disagree",5,4,25
"115","agree","strongly agree","agree","agree","disagree",15,TRUE,"strongly agree","strongly agree",8,114,155
"303","agree","agree","strongly disagree","disagree","agree",12,TRUE,"disagree","strongly agree",6,23,110
"7","agree","disagree","disagree","agree","strongly agree",14,TRUE,"strongly agree","strongly agree",8,89,154
"162","agree","agree","disagree","disagree","disagree",12,TRUE,"agree","agree",6,29,104
"90","agree","disagree","disagree","disagree","agree",12,TRUE,"disagree","agree",5,19,45
"158","agree","strongly agree","agree","agree","agree",16,TRUE,"agree","agree",6,133,109
"6","strongly agree","agree","strongly agree","agree","agree",17,TRUE,"agree","strongly agree",7,159,141
"318","disagree","strongly agree","strongly agree","strongly agree","agree",17,FALSE,"disagree","strongly agree",6,147,84
"163","agree","strongly agree","agree","disagree","agree",15,TRUE,"strongly agree","agree",7,101,133
"381","agree","disagree","disagree","agree","disagree",12,TRUE,"strongly agree","agree",7,22,136
"221","agree","strongly agree","disagree","agree","strongly agree",16,TRUE,"agree","agree",6,143,87
"131","agree","agree","agree","agree","agree",15,TRUE,"strongly agree","strongly agree",8,99,173
"113","agree","disagree","disagree","agree","disagree",12,TRUE,"agree","disagree",5,18,28
"127","agree","agree","strongly agree","strongly disagree","agree",14,TRUE,"disagree","strongly agree",6,93,90
"328","agree","agree","disagree","agree","agree",14,TRUE,"agree","agree",6,66,95
"46","strongly agree","strongly agree","agree","strongly agree","disagree",17,TRUE,"strongly agree","strongly agree",8,163,169
"118","strongly agree","strongly disagree","strongly agree","strongly agree","strongly agree",17,TRUE,"strongly disagree","strongly disagree",2,161,2
"151","agree","strongly agree","agree","agree","strongly disagree",14,TRUE,"strongly agree","agree",7,67,124
"301","agree","disagree","agree","strongly agree","agree",15,TRUE,"agree","strongly agree",7,110,129
"144","agree","disagree","agree","agree","disagree",13,TRUE,"strongly agree","agree",7,40,112
"313","agree","strongly agree","disagree","agree","disagree",14,TRUE,"strongly agree","strongly agree",8,72,156
"194","strongly agree","disagree","strongly agree","strongly agree","agree",17,TRUE,"disagree","disagree",4,160,21
"4","agree","agree","disagree","disagree","agree",13,TRUE,"strongly agree","strongly agree",8,34,144
"3","agree","disagree","disagree","disagree","agree",12,TRUE,"strongly agree","strongly agree",8,26,170
"247","agree","strongly agree","disagree","strongly agree","agree",16,TRUE,"strongly agree","strongly agree",8,132,172
"279","strongly agree","agree","agree","agree","agree",16,TRUE,"disagree","agree",5,129,60
"167","agree","strongly agree","agree","agree","disagree",15,TRUE,"agree","disagree",5,100,50
"112","agree","strongly agree","disagree","disagree","disagree",13,TRUE,"agree","disagree",5,30,34
"109","agree","strongly agree","agree","agree","agree",16,TRUE,"strongly agree","strongly agree",8,144,150
"304","agree","agree","agree","agree","agree",15,TRUE,"disagree","disagree",4,113,3
"320","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,111,74
"253","agree","agree","agree","disagree","strongly agree",15,TRUE,"strongly agree","agree",7,108,115
"368","agree","agree","agree","agree","agree",15,TRUE,"strongly agree","agree",7,117,113
"271","agree","disagree","disagree","agree","agree",13,TRUE,"disagree","agree",5,55,44
"233","strongly agree","disagree","disagree","agree","agree",14,TRUE,"agree","agree",6,79,64
"54","agree","strongly agree","agree","strongly agree","strongly agree",18,TRUE,"strongly agree","strongly agree",8,168,152
"256","agree","strongly disagree","agree","strongly agree","disagree",13,TRUE,"disagree","disagree",4,56,12
"184","agree","disagree","agree","agree","agree",14,TRUE,"disagree","agree",5,98,37
"342","agree","disagree","agree","disagree","agree",13,TRUE,"strongly agree","agree",7,35,126
"57","agree","agree","disagree","agree","disagree",13,TRUE,"agree","agree",6,50,75
"254","agree","disagree","agree","agree","disagree",13,TRUE,"strongly agree","strongly agree",8,45,165
"156","agree","agree","agree","agree","disagree",14,TRUE,"disagree","disagree",4,87,10
"51","agree","agree","agree","strongly agree","agree",16,TRUE,"agree","agree",6,131,111
"322","agree","agree","disagree","disagree","disagree",12,TRUE,"agree","agree",6,16,108
"56","agree","disagree","agree","agree","agree",14,TRUE,"agree","agree",6,74,88
"132","agree","disagree","agree","agree","agree",14,TRUE,"agree","agree",6,73,93
"296","agree","agree","agree","disagree","agree",14,TRUE,"strongly agree","agree",7,88,131
"259","strongly agree","disagree","agree","agree","agree",15,TRUE,"disagree","agree",5,121,36
"232","agree","agree","strongly disagree","disagree","agree",12,TRUE,"disagree","agree",5,14,52
"329","agree","agree","strongly agree","agree","strongly agree",17,TRUE,"agree","agree",6,148,82
"375","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree",20,TRUE,"strongly agree","strongly agree",8,174,149
"95","disagree","strongly disagree","strongly agree","strongly agree","strongly agree",15,FALSE,"strongly disagree","strongly disagree",2,124,1
"260","agree","disagree","agree","agree","disagree",13,TRUE,"disagree","disagree",4,38,14
"355","disagree","agree","agree","agree","disagree",13,FALSE,"agree","agree",6,58,67
"338","agree","strongly agree","agree","disagree","disagree",14,TRUE,"strongly agree","strongly agree",8,86,148
"315","agree","strongly agree","agree","agree","strongly disagree",14,TRUE,"disagree","strongly agree",6,69,68
"314","agree","disagree","agree","agree","agree",14,TRUE,"agree","disagree",5,82,58
"202","strongly agree","agree","agree","strongly agree","agree",17,TRUE,"agree","strongly agree",7,153,117
"234","agree","agree","agree","strongly agree","agree",16,TRUE,"agree","agree",6,145,96
"291","agree","disagree","agree","agree","agree",14,TRUE,"agree","agree",6,95,78
