PassengerId,Survived,Sex,Age
764,Yes,female,36
766,Yes,female,51
775,Yes,female,54
778,Yes,female,5
780,Yes,female,43
781,Yes,female,13
782,Yes,female,17
787,Yes,female,18
789,Yes,male,1
797,Yes,female,49
798,Yes,female,31
802,Yes,female,31
803,Yes,male,11
804,Yes,male,0.42
805,Yes,male,27
810,Yes,female,33
821,Yes,female,52
822,Yes,male,27
824,Yes,female,27
828,Yes,male,1
829,Yes,male,
830,Yes,female,62
831,Yes,female,15
832,Yes,male,0.83
836,Yes,female,39
839,Yes,male,32
840,Yes,male,
843,Yes,female,30
850,Yes,female,
854,Yes,female,16
856,Yes,female,18
857,Yes,female,45
858,Yes,male,51
859,Yes,female,24
863,Yes,female,48
866,Yes,female,42
867,Yes,female,27
870,Yes,male,4
872,Yes,female,47
875,Yes,female,28
876,Yes,female,15
880,Yes,female,56
881,Yes,female,25
888,Yes,female,19
890,Yes,male,26
1,No,male,22
5,No,male,35
6,No,male,
7,No,male,54
8,No,male,2
13,No,male,20
14,No,male,39
15,No,female,14
17,No,male,2
19,No,female,31
21,No,male,35
25,No,female,8
27,No,male,
28,No,male,19
30,No,male,
31,No,male,40
34,No,male,66
35,No,male,28
36,No,male,42
38,No,male,21
39,No,female,18
41,No,female,40
42,No,female,27
43,No,male,
46,No,male,
47,No,male,
49,No,male,
50,No,female,18
51,No,male,7
52,No,male,21
55,No,male,65
58,No,male,28.5
60,No,male,11
61,No,male,22
63,No,male,45
64,No,male,4
65,No,male,
68,No,male,19
70,No,male,26
71,No,male,32
72,No,female,16
73,No,male,21
74,No,male,26
76,No,male,25
77,No,male,
78,No,male,
81,No,male,22
84,No,male,28
87,No,male,16
88,No,male,
90,No,male,24
91,No,male,29
92,No,male,20
93,No,male,46
94,No,male,26
95,No,male,59
96,No,male,
97,No,male,71
100,No,male,34
101,No,female,28
102,No,male,
103,No,male,21
104,No,male,33
105,No,male,37
106,No,male,28
109,No,male,38
111,No,male,47
112,No,female,14.5
113,No,male,22
114,No,female,20
115,No,female,17
116,No,male,21
117,No,male,70.5
118,No,male,29
119,No,male,24
120,No,female,2
121,No,male,21
122,No,male,
123,No,male,32.5
125,No,male,54
127,No,male,
130,No,male,45
131,No,male,33
132,No,male,20
133,No,female,47
135,No,male,25
136,No,male,23
138,No,male,37
139,No,male,16
140,No,male,24
141,No,female,
144,No,male,19
145,No,male,18
146,No,male,19
148,No,female,9
149,No,male,36.5
150,No,male,42
151,No,male,51
153,No,male,55.5
154,No,male,40.5
155,No,male,
156,No,male,51
158,No,male,30
159,No,male,
160,No,male,
161,No,male,44
163,No,male,26
164,No,male,17
165,No,male,1
168,No,female,45
169,No,male,
170,No,male,28
171,No,male,61
172,No,male,4
174,No,male,21
175,No,male,56
176,No,male,18
177,No,male,
178,No,female,50
179,No,male,30
180,No,male,36
181,No,female,
182,No,male,
183,No,male,9
186,No,male,
189,No,male,40
190,No,male,36
192,No,male,19
197,No,male,
198,No,male,42
200,No,female,24
201,No,male,28
202,No,male,
203,No,male,34
204,No,male,45.5
206,No,female,2
207,No,male,32
211,No,male,24
213,No,male,22
214,No,male,30
215,No,male,
218,No,male,42
220,No,male,30
222,No,male,27
223,No,male,51
224,No,male,
226,No,male,22
228,No,male,20.5
229,No,male,18
230,No,female,
232,No,male,29
233,No,male,59
235,No,male,24
236,No,female,
237,No,male,44
239,No,male,19
240,No,male,33
241,No,female,
243,No,male,29
244,No,male,22
245,No,male,30
246,No,male,44
247,No,female,25
250,No,male,54
251,No,male,
252,No,female,29
253,No,male,62
254,No,male,30
255,No,female,41
261,No,male,
263,No,male,52
264,No,male,40
265,No,female,
266,No,male,36
267,No,male,16
271,No,male,
274,No,male,37
277,No,female,45
278,No,male,
279,No,male,7
281,No,male,65
282,No,male,28
283,No,male,16
285,No,male,
286,No,male,33
288,No,male,22
293,No,male,36
294,No,female,24
295,No,male,24
296,No,male,
297,No,male,23.5
298,No,female,2
303,No,male,19
305,No,male,
309,No,male,30
313,No,female,26
314,No,male,28
315,No,male,43
318,No,male,54
321,No,male,22
322,No,male,27
325,No,male,
327,No,male,61
332,No,male,45.5
333,No,male,38
334,No,male,16
336,No,male,
337,No,male,29
340,No,male,45
343,No,male,28
344,No,male,25
345,No,male,36
350,No,male,42
351,No,male,23
352,No,male,
353,No,male,15
354,No,male,25
355,No,male,
356,No,male,28
358,No,female,38
361,No,male,40
362,No,male,29
363,No,female,45
364,No,male,35
365,No,male,
366,No,male,30
372,No,male,18
373,No,male,19
374,No,male,22
375,No,female,3
378,No,male,27
379,No,male,20
380,No,male,19
383,No,male,32
385,No,male,
386,No,male,18
387,No,male,1
389,No,male,
393,No,male,28
396,No,male,22
397,No,female,31
398,No,male,46
399,No,male,23
402,No,male,26
403,No,female,21
404,No,male,28
405,No,female,20
406,No,male,34
407,No,male,51
409,No,male,21
410,No,female,
411,No,male,
412,No,male,
414,No,male,
416,No,female,
419,No,male,30
420,No,female,10
421,No,male,
422,No,male,21
423,No,male,29
424,No,female,28
425,No,male,18
426,No,male,
429,No,male,
434,No,male,17
435,No,male,50
437,No,female,21
439,No,male,64
440,No,male,31
442,No,male,20
443,No,male,25
451,No,male,36
452,No,male,
453,No,male,30
455,No,male,
457,No,male,65
460,No,male,
462,No,male,34
463,No,male,47
464,No,male,48
465,No,male,
466,No,male,38
467,No,male,
468,No,male,56
469,No,male,
471,No,male,
472,No,male,38
475,No,female,22
476,No,male,
477,No,male,34
478,No,male,29
479,No,male,22
481,No,male,9
482,No,male,
483,No,male,50
486,No,female,
488,No,male,58
489,No,male,30
491,No,male,
492,No,male,21
493,No,male,55
494,No,male,71
495,No,male,21
496,No,male,
498,No,male,
499,No,female,25
500,No,male,24
501,No,male,17
502,No,female,21
503,No,female,
504,No,female,37
506,No,male,18
509,No,male,28
512,No,male,
515,No,male,24
516,No,male,47
518,No,male,
520,No,male,32
522,No,male,22
523,No,male,
525,No,male,
526,No,male,40.5
528,No,male,
529,No,male,39
530,No,male,23
532,No,male,
533,No,male,17
535,No,female,30
537,No,male,45
539,No,male,
542,No,female,9
543,No,female,11
545,No,male,50
546,No,male,64
549,No,male,33
552,No,male,27
553,No,male,
556,No,male,62
558,No,male,
561,No,male,
562,No,male,40
563,No,male,28
564,No,male,
565,No,female,
566,No,male,24
567,No,male,19
568,No,female,29
569,No,male,
575,No,male,16
576,No,male,19
579,No,female,
583,No,male,54
584,No,male,36
585,No,male,
587,No,male,47
589,No,male,22
590,No,male,
591,No,male,35
593,No,male,47
594,No,female,
595,No,male,37
596,No,male,36
598,No,male,49
599,No,male,
602,No,male,
603,No,male,
604,No,male,44
606,No,male,36
607,No,male,30
611,No,female,39
612,No,male,
614,No,male,
615,No,male,35
617,No,male,34
618,No,female,26
620,No,male,26
621,No,male,27
624,No,male,21
625,No,male,21
626,No,male,61
627,No,male,57
629,No,male,26
630,No,male,
632,No,male,51
634,No,male,
635,No,female,9
637,No,male,32
638,No,male,31
639,No,female,41
640,No,male,
641,No,male,20
643,No,female,2
647,No,male,19
649,No,male,
651,No,male,
653,No,male,21
655,No,female,18
656,No,male,24
657,No,male,
658,No,female,32
659,No,male,23
660,No,male,58
662,No,male,40
663,No,male,47
664,No,male,36
666,No,male,32
667,No,male,25
668,No,male,
669,No,male,43
672,No,male,31
673,No,male,70
675,No,male,
676,No,male,18
677,No,male,24.5
679,No,female,43
681,No,female,
683,No,male,20
684,No,male,14
685,No,male,60
686,No,male,25
687,No,male,14
688,No,male,19
689,No,male,18
694,No,male,25
695,No,male,60
696,No,male,52
697,No,male,44
699,No,male,49
700,No,male,42
703,No,female,18
704,No,male,25
705,No,male,26
706,No,male,39
712,No,male,
714,No,male,29
715,No,male,52
716,No,male,19
719,No,male,
720,No,male,33
722,No,male,17
723,No,male,34
724,No,male,50
726,No,male,20
729,No,male,25
730,No,female,25
732,No,male,11
733,No,male,
734,No,male,23
735,No,male,23
736,No,male,28.5
737,No,female,48
739,No,male,
740,No,male,
742,No,male,36
744,No,male,24
746,No,male,70
747,No,male,16
749,No,male,19
750,No,male,31
753,No,male,33
754,No,male,23
757,No,male,28
758,No,male,18
759,No,male,34
761,No,male,
762,No,male,41
765,No,male,16
767,No,male,
768,No,female,30.5
769,No,male,
770,No,male,32
771,No,male,24
772,No,male,48
773,No,female,57
774,No,male,
776,No,male,18
777,No,male,
779,No,male,
783,No,male,29
784,No,male,
785,No,male,25
786,No,male,25
788,No,male,8
790,No,male,46
791,No,male,
792,No,male,16
793,No,female,
794,No,male,
795,No,male,25
796,No,male,39
799,No,male,30
800,No,female,30
801,No,male,34
806,No,male,31
807,No,male,39
808,No,female,18
809,No,male,39
811,No,male,26
812,No,male,39
813,No,male,35
814,No,female,6
815,No,male,30.5
816,No,male,
817,No,female,23
818,No,male,31
819,No,male,43
820,No,male,10
823,No,male,38
825,No,male,2
826,No,male,
827,No,male,
833,No,male,
834,No,male,23
835,No,male,18
837,No,male,21
838,No,male,
841,No,male,20
842,No,male,16
844,No,male,34.5
845,No,male,17
846,No,male,42
847,No,male,
848,No,male,35
849,No,male,28
851,No,male,4
852,No,male,74
853,No,female,9
855,No,female,44
860,No,male,
861,No,male,41
862,No,male,21
864,No,female,
865,No,male,24
868,No,male,31
869,No,male,
871,No,male,26
873,No,male,33
874,No,male,47
877,No,male,20
878,No,male,19
879,No,male,
882,No,male,33
883,No,female,22
884,No,male,28
885,No,male,25
886,No,female,39
887,No,male,27
889,No,female,
891,No,male,32
